,Frequency,Significance of Meat Source,Are you worried about the impact of meat consumption on the environment?,How often do you purchase from local farmers?,Do you want to decrease your meat consumption?,Does anyone you know live in the countryside?,"Does anyone you know use ""tezek""?","How do you process ""tezek""?","Do you add other materials to ""tezek""?","How much did u save by using ""tezeks?",Do you think feeding livestock leftovers decreases monthly expenditure?,Do you know of other sustainable practices?,How often do you here of these practices from your relatives?,"Did you witness or help with these pratcies, how?",Are these practices taught at any seasons or festivals?,Who are responsible for dung and composting?,How are these practices passed to other generations?,Do you think these practices should be spread wider?,Would you support events and festivals to support these practices?,Reasons_0.0,Reasons_1.0,Reasons_2.0,Reasons_nan,What do you feed your livestock?_0.0,What do you feed your livestock?_1.0,What do you feed your livestock?_4.0,What do you feed your livestock?_nan,Meat_Beef,Meat_Chicken,Meat_Fish,Meat_Horse,Meat_Lamb,Meat_Pork,Meat_nan
count,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,52.0,52.0,52.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
mean,4.333333333333334,4.019607843137255,1.0588235294117647,2.058823529411765,0.5882352941176471,0.6470588235294118,0.803921568627451,1.0,1.0392156862745099,,1.156862745098039,24.0,2.4705882352941178,,0.803921568627451,2.647058823529412,1.196078431372549,1.3333333333333333,0.8823529411764706,0.19230769230769232,0.5,0.25,0.057692307692307696,0.038461538461538464,0.057692307692307696,0.2692307692307692,0.6346153846153846,0.9038461538461539,0.8461538461538461,0.019230769230769232,0.38461538461538464,0.36538461538461536,0.057692307692307696,0.019230769230769232
std,2.0452399702596553,1.1629947157911311,0.8497234776478605,0.8022459821756385,0.7964743533956825,0.4778846120374093,0.5607980253362783,0.3429971702850177,0.8622993500900397,,0.7764309754205228,0.0,1.210297989177331,,0.9292545577311986,0.7877376245725753,0.4436748430974415,0.5483188805533161,0.7578881603955955,0.39795859172027154,0.5048781642974013,0.4372373160976031,0.23543547789870933,0.19418390934515434,0.23543547789870936,0.44788761788017445,0.48623588860399425,0.29767829619260566,0.3643213074786545,0.1386750490563073,0.4912507507890746,0.4862358886039942,0.23543547789870944,0.13867504905630726
min,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,1.0,24.0,1.0,,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
50%,3.6666666666666665,4.009803921568627,1.0,2.0,0.0,1.0,1.0,1.0,1.0,,1.0,24.0,3.0,,0.0,3.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
75%,7.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,,2.0,24.0,3.0,,2.0,3.0,1.0,2.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
max,7.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,,2.0,24.0,5.0,,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
