,Frequency,Significance of Meat Source,Are you worried about the impact of meat consumption on the environment?,How often do you purchase from local farmers?,Do you want to decrease your meat consumption?,Does anyone you know live in the countryside?,"Does anyone you know use ""tezek""?","How do you process ""tezek""?","Do you add other materials to ""tezek""?","How much did u save by using ""tezeks?",Do you think feeding livestock leftovers decreases monthly expenditure?,Do you know of other sustainable practices?,How often do you here of these practices from your relatives?,"Did you witness or help with these pratcies, how?",Are these practices taught at any seasons or festivals?,Who are responsible for dung and composting?,How are these practices passed to other generations?,Do you think these practices should be spread wider?,Would you support events and festivals to support these practices?,Reasons_0.0,Reasons_1.0,Reasons_2.0,Reasons_nan,What do you feed your livestock?_0.0,What do you feed your livestock?_1.0,What do you feed your livestock?_4.0,What do you feed your livestock?_nan,Meat_Beef,Meat_Chicken,Meat_Fish,Meat_Horse,Meat_Lamb,Meat_Pork,Meat_nan
Do you think feeding livestock leftovers decreases monthly expenditure?,0.016463472245165943,-0.09026407047040291,-0.13286604996569895,-0.1722080493034456,0.009325588711912377,-0.3263956049169334,-0.10948938192470431,0.07362688617174394,0.31296461567362555,,1.0,,-0.3289429112412322,,0.2872174751043933,0.12257723396670442,0.08147321428571468,0.015352267028948225,0.03136121713991163,0.09083260499189573,0.09611613136669064,-0.23329573284720415,0.07361273123819558,-0.040800316988309535,0.16405122961654997,-0.0674400018387112,-0.0010183798184429096,0.13806630933494632,0.07611324708263108,-0.028565935650379713,0.04435128876059727,-0.2067311031439121,0.16405122961654994,7.93168934662603e-17
Do you know of other sustainable practices?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How often do you here of these practices from your relatives?,0.03168496501298378,-0.10406736786882317,-0.026916724823392527,-0.028509675999619004,0.2620359688326425,0.015953483642778765,0.0781699702598661,0.09446631417831276,-0.28071411373578165,,-0.3289429112412322,,1.0,,-0.0051277151924122195,-0.07258690048045435,-0.06229049531900217,0.059092764447067285,0.14586176262573916,-0.06944623463876913,-0.13590470716228575,0.2550100126089194,-0.06476444764670976,-0.24538349904301585,0.10929000540382272,-0.09362077048584114,0.13131561831334895,-0.1696747777952322,-0.03138956266669032,-0.054976900265446604,0.0523780261108433,0.0352788228304519,-0.16595889709469366,-5.08834134337399e-17
"Did you witness or help with these pratcies, how?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are these practices taught at any seasons or festivals?,0.01375591834096821,-0.05087251915034023,0.01460725412372906,-0.16864176927096464,-0.05610181444253689,-0.2883009908852588,0.03910158317511248,-0.06151833700668176,0.2787680656492263,,0.2872174751043933,,-0.0051277151924122195,,1.0,0.22689613896093572,-0.28721747510439316,0.0897922199629974,-0.032754507647730864,-0.0020792995437451177,0.04589088011294436,0.02649511198655726,-0.1441009662126023,0.25993905663974914,0.0527198656875374,-0.05912019606059575,-0.07487909891851396,0.015288696583774592,0.2100932524715834,0.18199374203683466,0.2543481972221012,0.031483257499829734,-0.03690390598127618,1.656814390872977e-17
Who are responsible for dung and composting?,0.21906675155232422,0.09316510798867073,0.0017231444896107393,-0.060229006943261054,0.11213917389746646,0.03370303040634232,0.19842958768731436,0.07257009601200805,0.2513060650587765,,0.12257723396670442,,-0.07258690048045435,,0.22689613896093572,1.0,-0.08250390747758954,0.045395733144028526,-0.03670690702083707,-0.15452925772664888,0.255208654272202,-0.08036988286013357,-0.13682015772617953,-0.1658856252769313,0.11194376541232885,0.05230584708304336,-0.03613545678182465,0.04918720467462098,-0.03215175831103631,0.24284480717917592,0.0029805477667972534,0.08732735388940958,-0.09950556925540333,-7.817843281860452e-17
How are these practices passed to other generations?,-0.07202769107260082,0.14455024492783855,0.2294561718157633,0.13285943588733562,0.06201516493421722,-0.04351941398892468,0.07571543951647894,-0.12884705080055198,0.08240444467736761,,0.08147321428571468,,-0.06229049531900217,,-0.28721747510439316,-0.08250390747758954,1.0,0.05373293460131838,0.24353945185212564,0.11540717963011438,-0.008581797443454584,-0.1565686168258544,0.11409973341920296,-0.3168399616123412,-0.11041909685729316,0.2224967273777151,-0.024950305551851418,0.11644146570417194,0.04519224045531237,-0.062487984235205754,-0.08290667046725303,-0.15683049204020935,-0.1104190968572932,-1.3880456356595555e-16
Do you think these practices should be spread wider?,-0.15153203133905097,-0.10249380760164449,0.16833677276563172,-0.044574766078140995,0.04489777585448792,0.07482962642414656,0.14878766664590806,0.1042572070285374,0.05529390999985264,,0.015352267028948225,,0.059092764447067285,,0.0897922199629974,0.045395733144028526,0.05373293460131838,1.0,0.09436729285741036,0.2396224313223257,0.023609608232494264,-0.1908341913588904,-0.10125895868022772,-0.12276996280897019,-0.15188843802034135,-0.1330688233872044,0.24514800210295726,-0.08008629326801818,0.22902813515596096,-0.08595616691913029,-0.04852908884131366,-0.3186924027338445,0.15188843802034144,-1.1231437607836667e-16
Would you support events and festivals to support these practices?,0.2276947068292811,0.04710863702845167,0.04119324435105874,0.0436310902432371,0.21209330646255967,-0.11464503052030259,0.08412614688585625,-0.07542827297587533,0.15707523847778793,,0.03136121713991163,,0.14586176262573916,,-0.032754507647730864,-0.03670690702083707,0.24353945185212564,0.09436729285741036,1.0,0.07648352404284828,-0.09947252259248858,-0.027845084943391243,0.13574478909903218,-0.23511687158224587,-0.07110441333758825,-0.135914788901525,0.2535209118384762,-0.12781111315133348,0.08354514241437463,0.02194863151303927,-0.03407730473277232,-0.04068854140617526,-0.07110441333758832,-6.094312081203615e-17
Reasons_0.0,-0.22484562605386735,-0.22013540396818532,0.023876102757866894,-0.036127296755171553,-0.36389092184999416,-0.15162121743749749,0.08441339487687316,-0.4309458036856674,0.20614913968041962,,0.09083260499189573,,-0.06944623463876913,,-0.0020792995437451177,-0.15452925772664888,0.11540717963011438,0.2396224313223257,0.07648352404284828,1.0,-0.48795003647426677,-0.2817180849095055,-0.12073632210407385,0.15614401167176542,-0.12073632210407392,-0.29617443887954614,0.26891849420908714,-0.006366070140792575,0.20806259464411964,-0.06832667180756569,0.015430334996209103,-0.16758688769551808,0.2978162611900489,-0.06832667180756567
